"model","(Intercept)","Strategy","Week","poly(Week, 2)","poly(Week, 2):Strategy","Habitat","Tide","class","control","df","logLik","AICc","delta","weight"
"glmer_pol1",-2.09873553679568,"+",NA,"+",NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",7,146.133130557018,-277.454666911136,0,0.60983600396946
"glm2",-4.92069393496646,NA,0.162076918311087,NA,NA,NA,NA,"glm","",3,141.172687405789,-276.17636072707,1.27830618406637,0.321834353493984
"glmer_polint1",-2.11487762407488,"+",NA,"+","+",NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",11,147.784630066744,-271.599110879757,5.85555603137971,0.0326358722568657
"glm5",-1.80963608514089,NA,NA,NA,NA,NA,"+","glm","",3,137.864512649094,-269.560011213681,7.89465569745511,0.0117736293101168
"glmer_red1",-5.21585276077909,"+",0.175658954075487,NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",7,141.948729139119,-269.085864075339,8.36880283579785,0.00928860757373096
"glm1",-1.93206827880875,NA,NA,NA,NA,NA,NA,"glm","",2,136.419574129821,-268.755232175726,8.69943473541019,0.00787326393228363
"glmerfull",-5.22004631083711,"+",0.175837833575826,NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",8,141.948784232122,-266.846473573733,10.6081933374037,0.00303160871104991
"glm4",-1.82375834469892,NA,NA,NA,NA,"+",NA,"glm","",4,137.164511402915,-266.045334862567,11.4093320485691,0.00203099140520663
"glm3",-2.08330673294162,"+",NA,NA,NA,NA,NA,"glm","",4,136.984064910175,-265.684441877087,11.7702250340493,0.00169566934730232
